,month_name,year,query_count,query_text,month,date_new,date_as_date,date_as_date_to_time
2,January,2014,97.0,maps,,January-2014,January-2014,January-2014
503,February,2014,140.0,maps,,February-2014,February-2014,February-2014
1005,March,2014,144.0,maps,,March-2014,March-2014,March-2014
1503,April,2014,152.0,maps,,April-2014,April-2014,April-2014
2003,May,2014,119.0,maps,,May-2014,May-2014,May-2014
2506,June,2014,121.0,maps,,June-2014,June-2014,June-2014
3006,July,2014,121.0,maps,,July-2014,July-2014,July-2014
3506,August,2014,118.0,maps,,August-2014,August-2014,August-2014
4007,September,2014,115.0,maps,,September-2014,September-2014,September-2014
4508,October,2014,100.0,maps,,October-2014,October-2014,October-2014
5009,November,2014,82.0,maps,,November-2014,November-2014,November-2014
5512,December,2014,97.0,maps,,December-2014,December-2014,December-2014
6266,January,2015,119.0,maps,,January-2015,January-2015,January-2015
6717,February,2015,129.0,maps,,February-2015,February-2015,February-2015
7411,April,2015,130.0,maps,,April-2015,April-2015,April-2015
7900,May,2015,109.0,maps,,May-2015,May-2015,May-2015
8001,January,2017,117.0,maps,,January-2017,January-2017,January-2017
8780,July,2015,120.0,maps,,July-2015,July-2015,July-2015
8948,June,2015,148.0,maps,,June-2015,June-2015,June-2015
9569,August,2015,81.0,maps,,August-2015,August-2015,August-2015
10100,September,2015,110.0,maps,,September-2015,September-2015,September-2015
10620,October,2015,110.0,maps,,October-2015,October-2015,October-2015
10975,November,2015,102.0,maps,,November-2015,November-2015,November-2015
11551,December,2015,117.0,maps,,December-2015,December-2015,December-2015
12034,January,2016,104.0,maps,,January-2016,January-2016,January-2016
12743,February,2016,130.0,maps,,February-2016,February-2016,February-2016
13214,March,2016,83.0,maps,,March-2016,March-2016,March-2016
13653,April,2016,115.0,maps,,April-2016,April-2016,April-2016
13989,May,2016,125.0,maps,,May-2016,May-2016,May-2016
14912,June,2016,125.0,maps,,June-2016,June-2016,June-2016
15156,July,2016,149.0,maps,,July-2016,July-2016,July-2016
15588,August,2016,137.0,maps,,August-2016,August-2016,August-2016
16355,September,2016,181.0,maps,,September-2016,September-2016,September-2016
16692,October,2016,138.0,maps,,October-2016,October-2016,October-2016
17263,November,2016,120.0,maps,,November-2016,November-2016,November-2016
17980,December,2016,108.0,maps,,December-2016,December-2016,December-2016
18292,February,2017,235.0,maps,,February-2017,February-2017,February-2017
18916,March,2017,331.0,maps,,March-2017,March-2017,March-2017
19178,April,2017,351.0,maps,,April-2017,April-2017,April-2017
19703,May,2017,266.0,maps,,May-2017,May-2017,May-2017
20282,June,2017,265.0,maps,,June-2017,June-2017,June-2017
20971,July,2017,236.0,maps,,July-2017,July-2017,July-2017
21212,August,2017,238.0,maps,,August-2017,August-2017,August-2017
21933,September,2017,222.0,maps,,September-2017,September-2017,September-2017
22145,October,2017,224.0,maps,,October-2017,October-2017,October-2017
22586,November,2017,155.0,maps,,November-2017,November-2017,November-2017
23347,December,2017,121.0,maps,,December-2017,December-2017,December-2017
23686,January,2018,173.0,maps,,January-2018,January-2018,January-2018
24100,March,2018,188.0,maps,,March-2018,March-2018,March-2018
24528,April,2018,189.0,maps,,April-2018,April-2018,April-2018
25491,May,2018,156.0,maps,,May-2018,May-2018,May-2018
25777,June,2018,154.0,maps,,June-2018,June-2018,June-2018
26284,July,2018,173.0,maps,,July-2018,July-2018,July-2018
26800,August,2018,186.0,maps,,August-2018,August-2018,August-2018
27013,September,2018,240.0,maps,,September-2018,September-2018,September-2018
27755,October,2018,166.0,maps,,October-2018,October-2018,October-2018
28002,November,2018,164.0,maps,,November-2018,November-2018,November-2018
28612,January,2019,160.0,maps,1,January-2019,January-2019,January-2019
29374,February,2019,98.0,maps,2,February-2019,February-2019,February-2019
29857,March,2019,88.0,maps,3,March-2019,March-2019,March-2019
30309,April,2019,110.0,maps,4,April-2019,April-2019,April-2019
30856,May,2019,105.0,maps,5,May-2019,May-2019,May-2019
31098,June,2019,116.0,maps,6,June-2019,June-2019,June-2019
31507,July,2019,124.0,maps,7,July-2019,July-2019,July-2019
32010,August,2019,106.0,maps,8,August-2019,August-2019,August-2019
32515,September,2019,83.0,maps,9,September-2019,September-2019,September-2019
33014,October,2019,116.0,maps,10,October-2019,October-2019,October-2019
33515,November,2019,96.0,maps,11,November-2019,November-2019,November-2019
34508,January,2020,154.0,maps,1,January-2020,January-2020,January-2020
35005,March,2020,124.0,maps,3,March-2020,March-2020,March-2020
35518,February,2020,100.0,maps,2,February-2020,February-2020,February-2020
36003,May,2020,139.0,maps,5,May-2020,May-2020,May-2020
36504,April,2020,114.0,maps,4,April-2020,April-2020,April-2020
37007,July,2020,139.0,maps,7,July-2020,July-2020,July-2020
37030,June,2020,136.0,maps,6,June-2020,June-2020,June-2020
38081,August,2020,125.0,maps,8,August-2020,August-2020,August-2020
39011,October,2020,127.0,maps,10,October-2020,October-2020,October-2020
39196,November,2020,86.0,maps,11,November-2020,November-2020,November-2020
39688,December,2020,113.0,maps,12,December-2020,December-2020,December-2020
41188,March,2021,132.0,maps,3,March-2021,March-2021,March-2021
41683,April,2021,148.0,maps,4,April-2021,April-2021,April-2021
42682,June,2021,151.0,maps,6,June-2021,June-2021,June-2021
